transcriptid	prot	description	chrom	strand	cdsStart	cdsEnd	exonStarts	exonEnds
refGene.NM_014967.1.inc	MTMR15	myotubularin related protein 15	chr15	+	28984461	29008856	28983420,28984006,28987612,28990108,28993352,28997658,29000039,29001729,29004621,29005283,29008047,29008697,29010037,29016613,29021060,	28983506,28985392,28987753,28990310,28993586,28997790,29000148,29001849,29004786,29005434,29008151,29008892,29010166,29016754,29022600,
refGene.NM_014974.1.inc	DIP2C	DIP2 disco-interacting protein 2 homolog C	chr10	-	319299	458902	311431,317139,319211,322212,324303,345970,362945,365372,377138,380748,380938,384580,385270,392365,393767,398429,399136,400313,402214,405433,418586,419966,420485,423684,425930,426203,426679,435048,444865,449852,451708,455004,458763,476810,508378,522398,725433,	313517,317263,319386,322287,324361,346032,363116,365541,377269,380858,381050,384702,385394,392446,393877,398631,399251,400522,402351,405573,418701,420086,420579,423749,426033,426313,426803,435159,444957,450050,451828,455139,458973,476936,508489,522470,725606,
refGene.NM_014976.1	PDCD11	programmed cell death 11	chr10	+	105148173	105195296	105146401,105148162,105150143,105152864,105154768,105155731,105156355,105159445,105162862,105163712,105164016,105164751,105166237,105167538,105168186,105169284,105171094,105172734,105173289,105174730,105177075,105181875,105183694,105183994,105184544,105187761,105188432,105189492,105190036,105190480,105191572,105191959,105192911,105193661,105194263,105195124,	105146477,105148275,105150275,105153032,105154930,105155855,105156537,105159553,105163069,105163837,105164077,105164898,105166489,105167679,105168381,105169455,105171314,105172884,105173405,105175272,105177138,105181981,105183784,105184097,105184722,105187818,105188555,105189615,105190328,105190597,105191722,105192207,105193080,105193815,105194429,105196009,
refGene.NM_014977.1	ACIN1	apoptotic chromatin condensation inducer 1	chr14	-	22598196	22634335	22597615,22600132,22600346,22601216,22601464,22601977,22602484,22603153,22603403,22605014,22608524,22617199,22617868,22618595,22620796,22629030,22629570,22632527,22634023,	22598523,22600233,22600671,22601324,22601572,22602123,22602626,22603306,22603537,22605057,22608666,22617315,22618087,22619858,22620885,22629150,22629682,22632593,22634663,
refGene.NM_014978.1.inc	SORCS3	VPS10 domain receptor protein SORCS 3	chr10	+	106391441	107005515	106390848,106592539,106665580,106727082,106792802,106839522,106855144,106889144,106897364,106906885,106908639,106914050,106917005,106927813,106949746,106950867,106960884,106964189,106966683,106972863,106995289,106996966,107002522,107005449,107006566,107012078,107013057,	106391702,106592607,106665680,106727241,106792876,106839587,106855263,106889234,106897544,106907032,106908742,106914127,106917097,106927921,106949864,106951001,106960998,106964361,106966870,106972997,106995413,106997079,107002654,107005549,107006672,107012239,107014983,
refGene.NM_014979.1.inc	SV2C	synaptic vesicle protein 2C	chr5	+	75463547	75633094	75415060,75463230,75526499,75541316,75616742,75617361,75622801,75623348,75627358,75630374,75632309,75632966,75656944,	75415093,75463911,75526680,75541468,75616876,75617451,75622912,75623437,75627523,75630508,75632513,75633126,75657172,
refGene.NM_014982.1.inc	PCNX	pecanex-like 1	chr14	+	70513509	70645096	70443874,70483384,70498695,70504667,70505490,70513411,70525036,70532210,70546103,70547961,70549454,70555478,70559669,70562586,70563241,70565169,70569898,70570400,70572534,70581602,70583433,70584276,70587121,70588352,70591973,70593978,70610014,70612658,70624799,70625661,70638459,70639864,70641704,70645073,70645921,70646264,	70444473,70483593,70498801,70504713,70505580,70515118,70525169,70532395,70546194,70548019,70549672,70555632,70559702,70562758,70563352,70565261,70570008,70570506,70572627,70581753,70583575,70584454,70587230,70588482,70592032,70594194,70610268,70612889,70624900,70625812,70638690,70640139,70641910,70645516,70646062,70651852,
refGene.NM_014992.1	DAAM1	dishevelled-associated activator of	chr14	+	58799948	58905330	58725151,58799911,58827687,58851750,58856960,58859362,58860598,58860821,58862134,58862430,58862980,58863403,58866971,58867679,58868283,58874855,58876544,58884009,58888996,58890346,58891635,58895867,58897272,58900121,58903899,58905120,	58725239,58800131,58827777,58851822,58857055,58859696,58860709,58860925,58862201,58862548,58863119,58863462,58867159,58867979,58868391,58874885,58876651,58884094,58889103,58890435,58891804,58895975,58897333,58900253,58904070,58906224,
refGene.NM_014997.1.inc	KIAA0265	hypothetical protein LOC23008	chr7	+	129497851	129557690	129497584,129523996,129543520,129547824,129549129,129551526,129552940,129554479,129556512,129557612,	129497885,129524083,129543742,129547979,129549278,129551611,129553007,129554527,129556652,129560829,
refGene.NM_014999.1	RAB21	RAB21, member RAS oncogene family	chr12	+	70435176	70465720	70434924,70449846,70450638,70454005,70462077,70462616,70465577,	70435335,70449906,70450746,70454069,70462132,70462705,70467417,
refGene.NM_015000.1	STK38L	serine/threonine kinase 38 like	chr12	+	27341920	27366655	27288374,27341909,27346336,27352538,27353313,27356748,27358703,27359214,27359488,27361535,27362095,27363527,27366342,27366527,	27288532,27342054,27346388,27352661,27353397,27356872,27358858,27359317,27359550,27361653,27362219,27363623,27366434,27369795,
refGene.NM_015001.1	SPEN	spen homolog, transcriptional regulator	chr1	+	16047149	16138509	16046945,16071897,16075283,16108402,16110182,16115209,16118007,16118485,16119951,16121330,16127172,16136244,16136893,16137799,16138377,	16047232,16072218,16075760,16108563,16110383,16115361,16118133,16118599,16120065,16121431,16135348,16136727,16137088,16137958,16139537,
refGene.NM_015004.1	EXOSC7	exosome component 7	chr3	+	44992773	45027835	44992767,45005635,45006045,45013582,45018033,45021786,45023915,45027730,	44992830,45005737,45006140,45013748,45018104,45021910,45024071,45027966,
refGene.NM_015012.1	TMEM41B	transmembrane protein 41B	chr11	-	9261546	9292564	9258779,9261493,9264577,9265824,9266564,9273381,9277706,9292443,	9259164,9261716,9264716,9265929,9266658,9273510,9277824,9292872,
refGene.NM_015015.1	JMJD2B	jumonji domain containing 2B	chr19	+	4983901	5102522	4920131,4967267,4983876,4990846,4992147,4998486,5022020,5028377,5033377,5061632,5070663,5082086,5082897,5084893,5086349,5088272,5088631,5088972,5094977,5095258,5095793,5101368,5102345,	4920241,4967350,4984042,4991022,4992262,4998680,5022070,5028481,5033515,5061829,5070863,5082556,5083018,5085072,5086572,5088349,5088687,5089081,5095163,5095423,5095913,5101461,5104606,
refGene.NM_015018.1	DOPEY1	dopey family member 1	chr6	+	83863415	83934605	83834103,83863168,83863362,83867142,83875347,83876562,83879760,83885325,83886185,83887120,83888367,83889300,83891142,83891603,83891937,83895324,83896560,83898613,83900624,83902056,83903610,83906437,83906658,83908358,83911961,83913673,83915196,83918030,83918320,83918725,83919948,83920331,83920617,83922388,83923619,83925004,83926233,83929227,83934299,	83834217,83863261,83863553,83867324,83875518,83876752,83879859,83885425,83886295,83887229,83888488,83889420,83891257,83891633,83892171,83895946,83896835,83898766,83900725,83902316,83905600,83906549,83906841,83908484,83912096,83913729,83915301,83918097,83918465,83918805,83920058,83920481,83920679,83922541,83923756,83925060,83926398,83929357,83934846,
refGene.NM_015020.1	PHLPPL	PH domain and leucine rich repeat protein	chr16	-	70240293	70306199	70236354,70244193,70246643,70247974,70249636,70250056,70255302,70258581,70260678,70263665,70267850,70270158,70270792,70273154,70275879,70281922,70294001,70305915,	70241448,70244425,70246838,70248085,70249767,70250219,70255503,70258737,70260774,70263726,70268053,70270389,70270939,70273309,70276005,70282113,70294135,70306205,
refGene.NM_015023.1	WDTC1	WD and tetratricopeptide repeats 1	chr1	+	27460132	27505461	27433745,27460033,27462229,27481316,27482415,27486751,27491292,27493099,27493591,27495403,27496128,27497015,27500303,27502698,27504078,27505263,	27434029,27460180,27462313,27481363,27482527,27486939,27491475,27493194,27493707,27495479,27496234,27497189,27500539,27502873,27504271,27507322,
refGene.NM_015024.1	XPO7	exportin 7	chr8	+	21833227	21918545	21833127,21880313,21882939,21883600,21885332,21888126,21889812,21891226,21893540,21895187,21896096,21898102,21899042,21900597,21901240,21902459,21903800,21904267,21905324,21907819,21908948,21912211,21912547,21912992,21915568,21916675,21917359,21918451,	21833245,21880460,21883033,21883767,21885398,21888231,21889978,21891300,21893660,21895334,21896269,21898296,21899148,21900733,21901314,21902540,21903864,21904376,21905431,21907908,21909056,21912294,21912762,21913131,21915729,21916774,21917487,21918930,
refGene.NM_015027.1.inc	PDXDC1	hypothetical protein LOC23042	chr16	+	15003206	15037399	14976486,14999110,14999697,15003133,15005544,15007751,15010136,15011038,15017486,15018477,15018678,15020197,15024061,15028000,15030235,15031308,15033092,15034218,15034635,15035643,15035814,15036806,15037373,	14976578,14999184,14999763,15003214,15005691,15007941,15010205,15011117,15017571,15018526,15018780,15020323,15024112,15028064,15030324,15031414,15033264,15034337,15034757,15035736,15035911,15036911,15039687,
refGene.NM_015029.1.inc	POP1	processing of precursor 1, ribonuclease P/MRP	chr8	+	99209162	99239369	99199243,99204739,99208998,99209768,99211381,99215352,99215875,99217885,99218264,99221481,99222172,99227971,99230218,99231888,99237453,99239020,	99199269,99204883,99209166,99209944,99211630,99215440,99216063,99218142,99218358,99221593,99222292,99228087,99230410,99232043,99237816,99239813,
refGene.NM_015035.1	ZHX3	zinc fingers and homeoboxes 3	chr20	-	39247244	39266970	39240502,39264110,39331043,39362019,	39247255,39267120,39331137,39362153,
refGene.NM_015037.1	KIAA0913	hypothetical protein LOC23053	chr10	+	75215642	75231283	75215610,75218433,75218859,75219130,75219480,75219719,75219935,75220738,75221087,75221622,75223351,75223628,75223910,75224304,75225302,75226537,75226876,75227140,75227544,75227993,75228765,75229774,75230059,75230403,75230780,75231079,	75215850,75218587,75218954,75219303,75219588,75219801,75220056,75220940,75221263,75222616,75223483,75223808,75224094,75224403,75225427,75226778,75227035,75227369,75227834,75228217,75229254,75229958,75230236,75230523,75230959,75231557,
refGene.NM_015039.1	NMNAT2	nicotinamide mononucleotide adenylyltransferase	chr1	-	181488398	181654025	181484001,181496759,181496959,181514310,181519752,181520467,181522419,181525885,181528547,181529462,181653940,	181488501,181496827,181497061,181514387,181519797,181520548,181522546,181525964,181528615,181529551,181654360,
refGene.NM_015040.1	PIP5K3	phosphatidylinositol-3-phosphate 5-kinase type	chr2	+	208844488	208928274	208839235,208844479,208846552,208849680,208850505,208858694,208861697,208871609,208873905,208875210,208877139,208877814,208885204,208887262,208888161,208890835,208893220,208897110,208897879,208898238,208901148,208902810,208903491,208906283,208908274,208908761,208909014,208909806,208911476,208912386,208912979,208915522,208918079,208919018,208920827,208922992,208923739,208924320,208925622,208926866,208927539,208928158,	208839384,208844660,208846702,208849799,208850677,208858902,208861787,208871748,208874063,208875322,208877287,208877982,208885264,208887392,208888342,208890910,208893328,208897251,208898006,208899398,208901249,208902882,208903663,208906462,208908388,208908870,208909169,208909897,208911537,208912524,208913100,208915618,208918163,208919116,208920992,208923052,208923916,208924424,208925751,208927128,208927614,208931720,
refGene.NM_015042.1.inc	ZNF609	zinc finger protein 609	chr15	+	62579094	62759480	62578671,62702078,62749597,62753167,62757367,62759436,62759897,62760560,62760943,	62579418,62702304,62749685,62755508,62757734,62759612,62760114,62760639,62765317,
refGene.NM_015046.1.inc	SETX	senataxin	chr9	-	134134876	134199852	134126648,134134822,134136917,134140463,134142267,134143277,134146674,134148471,134151630,134153443,134153757,134161079,134162094,134163287,134165837,134176964,134191531,134196259,134196484,134199815,134201503,134207897,134211468,134214459,134218856,134220124,	134130193,134134910,134137016,134140628,134142360,134143465,134146782,134148621,134151702,134153559,134153859,134161236,134162262,134163520,134166011,134177064,134195707,134196347,134196656,134199935,134201723,134208007,134211679,134214643,134218963,134220193,
refGene.NM_015050.1	KIAA0082	hypothetical protein LOC23070	chr6	+	37511383	37555899	37508990,37511377,37519752,37522044,37526004,37527559,37528800,37528993,37534365,37535319,37537302,37537723,37538582,37546774,37547600,37548172,37549223,37550277,37551074,37551879,37553345,37554162,37554900,37555766,	37509131,37511516,37519904,37522203,37526097,37527631,37528895,37529066,37534564,37535438,37537399,37537856,37538762,37546831,37547658,37548241,37549355,37550400,37551166,37551948,37553393,37554275,37555009,37557260,
refGene.NM_015051.1	TXNDC4	thioredoxin domain containing 4 (endoplasmic	chr9	-	101784714	101900943	101781285,101787069,101808608,101809680,101818424,101820358,101822718,101824144,101854519,101859922,101862202,101900886,	101784816,101787172,101808750,101809792,101818541,101820416,101822834,101824329,101854635,101859962,101862275,101901151,
refGene.NM_015054.1.inc	KIAA0701	hypothetical protein LOC23074 isoform a	chr12	-	98965866	99016350	98954994,98957504,98965438,98965851,98968076,98968987,98975479,98975937,98977758,98990580,99000924,99002384,99004183,99006823,99013575,99015273,99016260,99020674,99021821,99026294,99060500,	98955664,98957698,98965547,98966105,98968227,98969130,98975655,98977442,98977952,98990722,99001043,99002567,99004267,99007004,99013746,99015414,99016450,99020766,99021860,99026457,99060773,
refGene.NM_015055.1	SWAP70	SWAP-70 protein	chr11	+	9642302	9728093	9642203,9672268,9691588,9702780,9706175,9707465,9710651,9716335,9718303,9725980,9727209,9727986,	9642401,9672409,9691762,9703008,9706322,9707574,9710833,9716443,9718470,9726179,9727306,9731081,
refGene.NM_015060.1	KIAA0241	hypothetical protein LOC23080	chr7	+	32501846	32590044	32501700,32549277,32550830,32554983,32557470,32558365,32559863,32560694,32564695,32565065,32576156,32579335,32582091,32586355,32586938,32589928,	32501939,32549398,32550916,32555055,32557560,32558432,32559904,32560733,32564765,32565601,32576291,32579555,32582209,32586409,32587027,32590304,
refGene.NM_015061.1	JMJD2C	jumonji domain containing 2C	chr9	+	6782988	7164729	6747653,6782971,6795598,6804630,6839506,6870011,6877959,6883094,6970924,6974165,6976343,6980415,7001697,7003787,7005852,7036861,7039091,7093684,7118065,7155237,7159797,7164552,	6748203,6783132,6795774,6804745,6839700,6870061,6878063,6883232,6971118,6974404,6976666,6980524,7001879,7004001,7005929,7036917,7039200,7093870,7118236,7155357,7159890,7165647,
refGene.NM_015065.1	EXPH5	exophilin 5	chr11	-	107885473	107969473	107884885,107894171,107904072,107914960,107917588,107969354,	107890812,107894310,107904121,107915123,107917749,107969570,
refGene.NM_015069.1.inc	ZNF423	zinc finger protein 423	chr16	-	48227092	48230179	48082022,48115035,48116774,48217581,48227071,48322182,48380898,48414081,48418174,	48082716,48115151,48116906,48217666,48230286,48322383,48380958,48414150,48418419,
refGene.NM_015071.1	ARHGAP26	GTPase regulator associated with the focal	chr5	+	142130510	142582204	142130475,142233148,142234858,142239122,142245046,142253986,142261683,142263288,142267452,142272947,142291795,142373837,142396953,142401573,142414196,142415785,142417399,142480745,142493724,142506988,142566955,142573754,142582115,	142130664,142233244,142234920,142239194,142245148,142254097,142261788,142263418,142267553,142273042,142291874,142373874,142397019,142401648,142414284,142415844,142417505,142480905,142493863,142507139,142567231,142573846,142588764,
refGene.NM_015075.1	IQSEC2	IQ motif and Sec7 domain 2	chrX	-	53281077	53327428	53278783,53282228,53284051,53285101,53287690,53289238,53292875,53294020,53294627,53296185,53300436,53301706,53325470,53327402,	53281091,53282402,53284213,53285201,53287816,53289378,53293042,53294143,53294789,53297081,53300838,53301968,53325566,53327521,
refGene.NM_015079.1	TBC1D2B	TBC1 domain family, member 2B	chr15	-	76077651	76133566	76074382,76081015,76082701,76088393,76092219,76095942,76097243,76103552,76104655,76109403,76124296,76133430,76156689,	76077700,76081137,76082887,76088511,76092714,76096136,76097354,76103936,76104894,76109567,76124465,76133584,76156912,
refGene.NM_015082.1	FSTL4	follistatin-like 4	chr5	-	132562685	132967573	132560050,132565523,132573781,132580819,132584338,132587780,132588740,132589248,132597007,132613000,132676244,132680049,132764328,132930775,132967447,132975914,	132563388,132565633,132573889,132580969,132584457,132587807,132588875,132589410,132597128,132613167,132676368,132680243,132764577,132930809,132967583,132976122,
refGene.NM_015084.1	MRPS27	mitochondrial ribosomal protein S27	chr5	-	71552491	71651804	71551111,71555265,71557639,71559848,71564025,71565701,71569596,71627113,71629214,71645663,71651731,	71552731,71555433,71557782,71559951,71564141,71565780,71569711,71627172,71629285,71645741,71651809,
refGene.NM_015086.1.inc	DDN	dendrin	chr12	-	47676984	47678568	47675199,47679128,	47678716,47679355,
refGene.NM_015093.1	MAP3K7IP2	mitogen-activated protein kinase kinase kinase 7	chr6	+	149732826	149772548	149680755,149732737,149740846,149760432,149760797,149761932,149772405,	149680844,149732928,149742347,149760593,149760891,149762013,149774440,
refGene.NM_015094.1.inc	HIC2	hypermethylated in cancer 2	chr22	+	20129367	20130849	20101692,20127047,20129210,	20101849,20127146,20135750,
refGene.NM_015099.1.inc	CAMTA2	calmodulin binding transcription activator 2	chr17	-	4813660	4826158	4812016,4812925,4813168,4813518,4813648,4813920,4814358,4816250,4816787,4817193,4817603,4818403,4821076,4822522,4823702,4825243,4825696,4826107,4826775,4826994,4829898,4830210,4831611,	4812838,4813000,4813356,4813539,4813720,4814104,4814555,4816555,4817010,4817272,4817788,4818519,4821211,4822649,4824640,4825378,4825850,4826179,4826911,4827062,4830002,4830305,4831655,
refGene.NM_015100.1	POGZ	pogo transposable element with ZNF domain	chr1	-	149643901	149681304	149641823,149645706,149646010,149646334,149647199,149647508,149647793,149650724,149651395,149662496,149663048,149664054,149666922,149667222,149668702,149669765,149680027,149681180,149698251,	149645564,149645731,149646123,149646391,149647340,149647681,149647928,149650871,149651496,149662651,149663386,149664161,149667141,149667513,149668811,149669941,149680186,149681305,149698556,
refGene.NM_015101.1	GLT25D2	glycosyltransferase 25 domain containing 2	chr1	-	182174517	182273114	182171589,182176337,182179952,182181188,182186763,182190518,182199657,182205025,182209372,182210853,182214166,182272851,	182174794,182176544,182180080,182181321,182186870,182190595,182199777,182205230,182209507,182210971,182214277,182273486,
refGene.NM_015106.1	RAD54L2	RAD54-like 2	chr3	+	51636793	51672476	51636756,51638389,51639327,51639760,51642632,51642957,51644648,51646216,51647199,51648474,51648936,51650804,51652930,51654079,51654646,51655340,51665026,51666635,51669081,51671481,	51636810,51638529,51639444,51639987,51642815,51643091,51644845,51646559,51647377,51648726,51649055,51650923,51653030,51654285,51654819,51655537,51665226,51666725,51669174,51672650,
refGene.NM_015110.1	SMC5	SMC5 protein	chr9	+	72063814	72157067	72063724,72069039,72072658,72082045,72083226,72085494,72087157,72090935,72102701,72104781,72109982,72119477,72120181,72123249,72123529,72128218,72128756,72148879,72151340,72151801,72152348,72152654,72154849,72155111,72156926,	72063999,72069181,72072711,72082208,72083361,72085635,72087319,72091007,72102957,72104936,72110096,72119572,72120314,72123423,72123699,72128342,72128879,72149005,72151385,72151897,72152453,72152774,72155029,72155207,72157154,
refGene.NM_015111.1	N4BP3	Nedd4 binding protein 3	chr5	+	177479190	177481608	177473161,177479160,177479784,177480704,177481080,	177473378,177479520,177480306,177480959,177485713,
refGene.NM_015113.1	ZZEF1	zinc finger, ZZ type with EF hand domain 1	chr17	-	3856932	3992938	3854488,3858925,3859646,3863491,3864132,3864389,3866365,3867413,3867878,3869711,3871171,3872751,3874961,3882168,3882870,3884057,3892471,3894266,3899750,3900823,3902013,3904099,3906258,3908036,3909213,3912795,3914403,3916489,3917205,3920726,3922650,3924192,3925139,3925305,3926679,3926910,3927925,3931418,3932479,3935712,3936528,3937476,3938720,3940761,3945873,3946651,3952359,3954675,3955735,3959695,3962651,3964341,3967014,3973949,3992584,	3857013,3858997,3859800,3863657,3864231,3864558,3866509,3867773,3868014,3869812,3871363,3872871,3875161,3882301,3883045,3884335,3892611,3894417,3899902,3901086,3902179,3904238,3906388,3908198,3909333,3912960,3914872,3916583,3917285,3920967,3922799,3924394,3925221,3925472,3926802,3927032,3928085,3931533,3932547,3935846,3936698,3937577,3938936,3940873,3946022,3946743,3952458,3954854,3955852,3959906,3962851,3964513,3967209,3974094,3993002,
refGene.NM_015117.1.inc	ZC3H3	zinc finger CCCH-type domain containing 3	chr8	-	144593603	144692397	144590974,144593353,144594248,144619029,144621521,144621694,144621929,144628710,144661058,144689569,144691315,144694688,	144591400,144593676,144594433,144619161,144621591,144621853,144621972,144628898,144661212,144689766,144692633,144694746,
refGene.NM_015125.1.inc	CIC	capicua homolog	chr19	+	47483339	47490615	47480656,47482762,47482997,47483311,47483536,47483801,47484879,47485172,47485839,47486224,47487549,47488077,47488291,47488557,47488947,47489583,47489926,47490164,47490595,47490815,	47480763,47482912,47483232,47483441,47483719,47483967,47485082,47485398,47485943,47487458,47487737,47488199,47488458,47488851,47489273,47489828,47490081,47490296,47490727,47491789,
refGene.NM_015135.1	NUP205	nucleoporin 205kDa	chr7	+	134893232	134983844	134893227,134906392,134908941,134911557,134912256,134913083,134914038,134920119,134922862,134923142,134926737,134928274,134929834,134932655,134933285,134936157,134936657,134938092,134939627,134941432,134942038,134942534,134949446,134951203,134951942,134952377,134952889,134953699,134954710,134955077,134958064,134960451,134961527,134963260,134965631,134970868,134973218,134973844,134978479,134980182,134980755,134981445,134983691,	134893260,134906535,134909113,134911702,134912416,134913312,134914203,134920295,134922979,134923280,134926888,134928480,134930017,134932706,134933495,134936257,134936795,134938282,134939748,134941514,134942203,134942659,134949561,134951353,134952014,134952535,134952970,134953891,134954978,134955176,134958213,134960643,134961649,134963399,134965758,134970945,134973347,134973971,134978646,134980306,134980884,134981519,134984037,
refGene.NM_015136.1.inc	STAB1	stabilin 1 precursor	chr3	+	52512476	52532112	52504395,52510221,52510693,52511061,52511214,52511687,52512054,52512399,52512827,52513083,52513516,52513794,52514058,52514374,52514723,52514938,52515225,52515747,52516668,52516986,52517328,52518265,52518925,52519197,52519404,52520705,52521396,52521651,52521883,52522185,52522772,52522938,52523170,52523420,52523756,52524044,52524478,52525098,52525411,52525597,52525747,52526039,52526375,52526605,52526936,52527367,52527591,52527778,52528319,52528560,52528999,52529259,52529455,52529697,52529859,52530416,52530651,52530899,52531092,52531385,52531610,52531830,52532080,52532277,52532482,52532707,52532926,52533155,52533355,	52504547,52510358,52510809,52511147,52511284,52511783,52512165,52512596,52512958,52513211,52513605,52513932,52514199,52514437,52514837,52514992,52515306,52515906,52516731,52517082,52517415,52518377,52519112,52519291,52519563,52520801,52521492,52521699,52522014,52522297,52522850,52523037,52523269,52523552,52523885,52524101,52524562,52525294,52525507,52525643,52525824,52526165,52526449,52526680,52527059,52527415,52527669,52527925,52528460,52528620,52529176,52529346,52529605,52529754,52530061,52530566,52530756,52531007,52531286,52531530,52531744,52531996,52532190,52532397,52532632,52532812,52533073,52533269,52533549,
refGene.NM_015138.1	RTF1	Paf1/RNA polymerase II complex component	chr15	+	39532456	39560177	39496607,39517810,39532390,39537161,39544260,39545630,39549746,39550661,39554109,39555014,39555201,39555935,39556654,39556947,39558037,39558592,39559703,39560070,	39496803,39517921,39532538,39537366,39544375,39545742,39549882,39550839,39554192,39555102,39555309,39556013,39556776,39557005,39558115,39558688,39559815,39563046,
refGene.NM_015139.1	SLC35D1	solute carrier family 35 (UDP-glucuronic	chr1	-	67242610	67292284	67242439,67247355,67258639,67259805,67280506,67285535,67288052,67288703,67290282,67291041,67291226,67292081,	67242719,67247438,67258718,67259873,67280599,67285638,67288121,67288775,67290350,67291128,67291260,67292316,
refGene.NM_015140.1	TTLL12	tubulin tyrosine ligase-like family, member 12	chr22	-	41893957	41913019	41892572,41894723,41895449,41897768,41898352,41899664,41900158,41900448,41902269,41905568,41905790,41906691,41908929,41912842,	41894109,41894862,41895518,41897850,41898504,41899776,41900353,41900565,41902346,41905702,41905950,41906890,41909099,41913051,
refGene.NM_015141.1	GPD1L	glycerol-3-phosphate dehydrogenase 1-like	chr3	+	32123207	32182406	32123147,32144571,32155082,32156723,32163117,32175371,32176063,32182309,	32123254,32144749,32155223,32156862,32163230,32175605,32176170,32185200,
refGene.NM_015144.1	ZCCHC14	zinc finger, CCHC domain containing 14	chr16	-	86001386	86082934	85997352,86002622,86004161,86005520,86006382,86008566,86009953,86010889,86011713,86014916,86024234,86051114,86082775,	86001442,86004083,86004302,86005648,86006474,86008849,86010008,86010984,86011823,86014988,86024308,86051238,86082961,
refGene.NM_015149.1	RGL1	ral guanine nucleotide dissociation	chr1	+	181977915	182162049	181871830,181977883,182042131,182083322,182101752,182116372,182119542,182120479,182124230,182127833,182133564,182135906,182138324,182140606,182142768,182147838,182152203,182157978,182161861,	181872259,181978047,182042242,182083531,182101830,182116557,182119667,182120695,182124334,182127918,182133654,182135993,182138357,182140728,182142858,182148025,182152458,182158093,182164288,
refGene.NM_015150.1.inc	RFTN1	raft-linking protein	chr3	-	16333509	16450522	16332356,16339886,16343283,16374442,16386586,16394228,16425885,16450361,16510235,16529952,	16333743,16339968,16343387,16374558,16386790,16394613,16425994,16450548,16510388,16530226,
refGene.NM_015154.1	MESDC2	mesoderm development candidate 2	chr15	-	79058614	79069187	79055149,79061345,79068974,	79058873,79061578,79069260,
refGene.NM_015157.1.inc	PHLDB1	pleckstrin homology-like domain, family B,	chr11	+	118000915	118026060	117982422,117989218,117989740,117990483,117991965,118000859,118003230,118007133,118007839,118008085,118011320,118014818,118015089,118018181,118019727,118019999,118021283,118021662,118023855,118025991,118026359,118031524,118031779,118032602,	117982597,117989375,117989821,117990607,117992136,118000985,118004576,118007406,118007980,118008223,118011476,118014929,118015179,118018322,118019868,118020102,118021578,118021753,118024002,118026108,118026462,118031610,118031812,118033951,
refGene.NM_015160.1.inc	PMPCA	peptidase (mitochondrial processing) alpha	chr9	+	138426354	138437381	138424936,138426269,138426762,138427082,138428825,138430563,138431223,138432289,138432827,138433100,138433316,138436104,138437367,	138425012,138426472,138426842,138427165,138428920,138430664,138431487,138432382,138432946,138433191,138433379,138436249,138438033,
refGene.NM_015161.1	ARL6IP1	ADP-ribosylation factor-like 6 interacting	chr16	-	18712074	18720289	18710491,18713421,18714286,18716747,18717523,18720253,	18712193,18713506,18714404,18716867,18717657,18720358,
refGene.NM_015162.1.inc	ACSBG1	lipidosin	chr15	-	76253119	76287414	76250243,76252989,76253781,76258010,76258946,76260151,76261365,76261862,76262101,76272902,76273328,76273902,76287398,76313767,	76250926,76253236,76253921,76258228,76259177,76260333,76261542,76262012,76262182,76273023,76273417,76274123,76287499,76313954,
refGene.NM_015163.1	TRIM9	tripartite motif protein 9 isoform 1	chr14	-	50513758	50631407	50511732,50515854,50518267,50534517,50537150,50545547,50546851,50559302,50561732,50630585,	50513821,50516017,50518571,50534656,50537308,50545701,50546962,50559425,50561828,50631797,
refGene.NM_015169.1	RRS1	homolog of yeast ribosome biogenesis regulatory	chr8	+	67503920	67505018	67503816,	67505520,
refGene.NM_015170.1.inc	SULF1	sulfatase 1	chr8	+	70650847	70713361	70541426,70570553,70576662,70638327,70638704,70650758,70661145,70663760,70675391,70676442,70677980,70678388,70679591,70695823,70698730,70701998,70702560,70702959,70704292,70713290,70713523,70715596,70733293,	70541739,70570718,70576757,70638400,70638936,70650998,70661297,70663930,70675542,70676618,70678109,70678445,70679721,70696040,70698986,70702095,70702655,70703025,70704468,70713433,70713647,70715630,70735701,
refGene.NM_015171.1	XPO6	exportin 6	chr16	-	28017359	28130190	28016816,28020279,28020668,28023367,28024864,28025204,28026343,28030638,28031725,28036139,28040491,28044510,28051155,28052662,28054037,28064915,28071480,28074895,28085329,28088571,28094719,28096041,28099762,28130187,	28017461,28020510,28020767,28023529,28025036,28025319,28026499,28030828,28031872,28036284,28040584,28044670,28051225,28052755,28054146,28065025,28071607,28075349,28085407,28088731,28094917,28096154,28099853,28130691,
refGene.NM_015176.1	FBXO28	F-box protein 28	chr1	+	222368454	222412071	222368435,222384796,222388398,222407466,222411676,	222368721,222384906,222388537,222407662,222413869,
refGene.NM_015184.1	PLCL2	phospholipase C-like 2	chr3	+	17026220	17106408	16949585,17026169,17031203,17059369,17084451,17106228,	16949787,17028656,17031407,17059445,17084561,17107089,
refGene.NM_015185.1.inc	ARHGEF9	Cdc42 guanine exchange factor 9	chrX	-	62774785	62861172	62771572,62780584,62792098,62802490,62810642,62814944,62833729,62842862,62861136,62890908,	62774814,62780653,62792342,62802622,62810772,62815177,62833909,62843054,62861316,62891718,
